ngoid,state,district,ngoname,orgemail,physicaladdress,officephone,orgtype,chairmanname
450, Uttar Pradesh ,Kanpur Nagar,Bhawna Society for Disabled,bcpiknp@gmail.com,"118/553A,, Kaushalpuri Gumti No.5 , Kanpur Nagarbagga Tent House, Kanpur Nagar - 208012", 9839-212389 ,"Disha,Vikaas,Sahyogi,Badhte Kadam Niramaya",Narendra Kumar Pandey
451, West Bengal ,Birbhum,Santiniketan Ratanpally Vivekananda Adibasi Kalyan Samity,ssevaks@yahoo.com,"Ratanpally, Ratanpally, Po+Ps - Santiniketandist.-Birbhum, Bolpur Santiniketan,West Bengal, India - 731235", 9476-283039 ,Disha,Prof.Dhiraj Ray
452, West Bengal ,Uttar Dinajpur,St. John Ambulance Association Raiganj Centre,stjohnambulance.asha@gmail.com,"325/11, University Roadnear Goyalal Girls High School, Raiganj - 733134", 8250-570850 ,,Shankar Mitra
453, West Bengal ,Kolkata,"Organization for Friends, Energies & Resources",offerindia@gmail.com,"152, 1St Floor, B.T.Roaddunlop, Kolkata - 700108", 9830-062217 ,,Dr. Kallol Ghosh
454, West Bengal ,Howrah,Chiranabin,chiranabin@gmail.com,"00, Vill.- Parbakship.O.- Bakshi, P.S.- Joypur,, Dist.-Howrah, State- West Bengal - 711303", 9733-903617 ,,Sukumar Sau
455, West Bengal ,Nadia,Karimpur Social Welfare Society,kswsnadia@yahoo.com,"1, No Tarak Das Road Po Karimpur Nadia West Bengalbsnl Tower Karimpur, Karimpur - 741152", 9474-482433 ,"Vikaas,Disha,Badhte Kadam",Ashok Kumar Sarkar
456, West Bengal ,24 Paraganas North,Nir Ideal Home for Mentally Retarded and Associated Disability,nirhandicappedorg@gmail.com,"Gp/Haroa324, Haroa Roadpilkhana, Basirhat - 743425", 9830-881966 ,Badhte Kadam Niramaya,Md Abul Kalam Azad
457, West Bengal ,Medinipur West,Dantan Manav Kalyan Kendra,dmkk22@gmail.com,"Krishnapur, P. O-Dantannear Dantan Bphc, Dantan - 721426", 7602-900030 ,"Vikaas,Badhte Kadam,Disha",Mrs Jhilik Maikap Raj
458, West Bengal ,Kolkata,South Kolkata Parasmoni,skparasmoni@rediffmail.com,"38, Purna Chandra Mitra Laneswiss Park, Kolkata - 700033", 9830-411480 , Niramaya,Chaitali Gami
459, West Bengal ,Kolkata,Riddhi Society for Remedial and Integrated Education,riddhisociety23@gmail.com,"27, Purna Mitra Placenear Swisspark Nursing Home, Kolkata - 700033", 9830-930798 ,,Mrs Gopa Ghosh
460, West Bengal ,24 Paraganas South,Mentaid,mentaid.org@gmail.com,"17A, Brojen Mukherjee Road, Behalabehind Kfr Ground, Kolkata - 700034", 9831-004412 ,,Iona Louise Kundu
461, West Bengal ,Kolkata,Institute for the Handicapped and Backward People,ihbpkol@gmail.com,"44, Chanditala Branch Roadcharaktala Auto Stand, Kolkata - 700053", 7003-698107 ,,Mrs Laily Khatun
462, West Bengal ,Hooghly,Uttarapara Ashraya - Parents Organization,tarund61@gmail.com,"56, Dpjm Sarani.P.O. Bhadrakali, Dist - Hooghly., Hindmotor - 712232", 9831-182790 ,Vikaas Niramaya,Tarun Dasgupta
463, West Bengal ,Kolkata,Reach .Society for Remedial Education Assessment Counselling Handicapped,reachkolkata83@gmail.com,"18/2/A/3, Uday Sankar Sarani, Golf Greenbeside Netra Niketan, Kolkata - 700095", 8961-025755 ,,Dr. Purabi Bose
464, West Bengal ,Kolkata,Noble Mission Of South Calcutta,noble_mission@yahoo.com,"147, Barakhola, Krishak Pally , Mukundapur, Kolkata 700099Sankara Nethralaya, Kolkata - 700099", 9830-311719 , Niramaya,Lina Bardhan
465, West Bengal ,Alipurduar,Swapna Society for Dream Of Success,tapasbarmanpkb1985@gmail.com,"204, Shil Bari Hat31D National Highway, Alipurduar - 736204", 9641-557756 , Niramaya,Rakhi Adhikary
466, West Bengal ,Bankura,Kenduadihi Bikash Society,bikash12@rediffmail.com,"803, P.O. Kenduadinibehind Govinda Nagar Bus Stand, Bankura - 722102", 9434-004052 ,"Disha,Sahyogi,Badhte Kadam",Uttam Mukherjee
467, West Bengal ,Kolkata,Autism Society West Bengal,autismsocietywb@gmail.com,"22,, 22, Anjuman Ara Begum Rowjogesh Chandra Law College, Kolkata - 700033", 9038-008536 , Niramaya,Dr Mitu De
468, West Bengal ,Purba Bardhaman,Dr. Sailendra Nath Mukherjee Muka Badhir Vidhyalaya,snmashakiran.bdn@radiffmail.com,"Alisa Muza, Gt Road Bye Pass Eastnear Alisa Bus Stand, Purba Bardhaman - 713104", 9434-123923 ,,Pabitra Ganguly
469, West Bengal ,Cooch Behar,Dakshin Ramchandrapur Vivekananda Seva Kendra,drvsk_india@yahoo.co.in,"Mitras, K.D.Road , Sarada Sishu Tirthabye Lane, Near Venous Square Club, Coochbehar, West Bengal - 736101", 8967-930937 ,,Raja Das
470, West Bengal ,Howrah,Voice Of World,voiceofworld@gmail.com,"3, Chidam Mudi Lanekolkata, Kolkata - 700006", 9038-009815 ,,Krishna Dey
471, West Bengal ,Darjeeling,North Bengal Handicapped Rehabilitation Society,nbhrsslg@gmail.com,"Block C / 27, Nivedita Market, Hospital Roadopposite Siliguri District Hospital, Siliguri - 734001", 9434-716599 ,,Chandan Kumar Ghosh
472, West Bengal ,Birbhum,Rampurhat Spastics Handicapped Society.,rshs.rph@gmail.com,"Rampurhat, Rampurhat Chandmary,Uttarpally,Ward No-13P.O. And P.S-Rampurhat, Dist-Birbhum - 731224", 9002-896583 ,"Gharaunda,Sahyogi",Nurul Islam
473, West Bengal ,Medinipur East,Vivekananda Loksiksha Niketan,vlncontai@yahoo.in,"Vill. - Faridpur,, P.O. - Dakshin Dauki,P.S. Contai,, Contai - 721450", 9434-943246 ,,Goutam Kumar Sasmal
474, West Bengal ,Howrah,Yuba Unnayan Seba Samity,shibobratamajee@gmail.com,"0062, Tehatta High School, Uluberia - 711322", 9874-635477 ,,Shibobrata Majee
475, West Bengal ,Malda,Malda Krishnapally Janajagoran Society,punarbasanspl.edu@gmail.com,"15/150/A, Baghajatin Park, Malgalbarinear Bidyabharati Sishu Tirtha, Old Malda - 732142", 9748-257684 ,"Sahyogi,Disha,Vikaas Niramaya",Souvik Choudhury
476, West Bengal ,Hooghly,Chinsurah Sense Society,bratati.cy@gmail.com,"92958, Silbagansatyapirtala, Chinsurah - 712101", 9830-832150 ,,Bratati Choudhury
477, West Bengal ,24 Paraganas South,Pirkhali Pathikrit,pirkhalipathikrit@gmail.com,"007, Village-Chandipurpost-Kundarali, Ps-Baruipur - 743610", 8777-752221 ,,Madhusudan Mandal
478, West Bengal ,Murshidabad,Jhanjha Unnayan Samity,jhanjhaunnyansamity@gmail.com,"N 0174, Berhampore Amtala Roadchoa Raghunath Club, Hariharpara - 742166", 9002-796228 ,"Sahyogi,Vikaas,Badhte Kadam,Disha",Madan Sarkar
479, West Bengal ,Darjeeling,North Bengal Council for the Disabled,nbcd1990@gmail.com,"833/A/40/107, Ramkrishna Road By-Lanenbcd Building, Ashrampara, Siliguri - 734001", 9002-770072 ,,Dr. Gangotri Chakraborty
480, West Bengal ,Medinipur East,Pratibandhi Sahayak Samity,psspanskura@gmail.com,"H69, At P.O Panskuranear Pwd Ground, Purba Medinipur - 721139", 9800-010027 ,"Vikaas,Disha,Samarth",Mahendra Maiti
481, West Bengal ,Purba Bardhaman,Society for Mental Health Care,smhcin@yahoo.co.in,"713, Village P.O. Khajurdihi Via Katwadistrict-Bardhaman, Katwa - 713150", 9434-743404 ,,Subrata Sinha
482, West Bengal ,Hooghly,Partner Hooghly,partnerhooghly93@gmail.com,"541/189, Keota Ghosh Para (South), Sahaganjnear Shyamsundarpur Primary School, Chinsurah - 712104", 8910-359426 ,,Mr. Subhransu Ghosh
483, West Bengal ,Kolkata,Manovikas Kendra Rehabilitation & Research Institute for the Handicapped,mvkendra1974@gmail.com,"482, Madudah, Plot 1-24Sector - J, Eastern Metropolitan Bypass, Kolkata - 700107", 9830-721428 ,,Dr Sharada Fatehpuria
484, West Bengal ,Malda,Haiderpur Shelter Of Malda,haiderpurshelterofmalda@rediffmail.com,"273/A, Maheshmati Westbehind Bikram Club, Malda - 732101", 9434-154314 , Niramaya,Manmay Mukherjee
485, West Bengal ,Hooghly,Banga Society Of Backward Classes Scs Sts and Minorities,bsbcindia@gmail.com,"130, Bandel Station Roadnear Banstala More, Hooghly-Chinsurah - 712103", 9163-544513 ,,Ram Krit Yadav
486, West Bengal ,Kolkata,Indian Institute Of Cerebral Palsy,mail@iicpindia.org,"P-35/1, Taratolla Roadkolkata, Kolkata - 700088", 9831-057152 ,Disha,Ms. Sonali Nandi
487, West Bengal ,Cooch Behar,Sathmile Rehabilitetion Centre for Disabled,satmilercfordisabled@gmail.com,"Mathabhanga Road, Vill-Bhogdabri Keshribari P.O.Elajanerkuthi Ibhog Dabrikeshribari, India - 736157", 9002-800603 ,,"Sunil Ch.Eshore,Biswanath Barman,"
488, West Bengal ,Alipurduar,Birpara Welfare Organization,birparawelfare@gmail.com,"00, Birpara S C Colonycircus Ground Birpara, Birpara - 735204", 9832-351275 ,,Shri Indrajit Dey
489, West Bengal ,Kolkata,Behala Bodhayan,behalabodhayan@yahoo.co.in,"48/3, Sarsuna Main Roadsarsuna,, Kolkata - 700061", 9339-751472 ,,Smt. Rikta Ghosh
490, West Bengal ,Kolkata,Calcutta Centre Mahavir Seva Sadan,mahavirsevasadan20@rediffmail.com,"20, Ekbalpur Lanekolkata, Kolkata - 700023", 9051-302105 , Niramaya,Shri R S Singhi
491, West Bengal ,Kolkata,Bodhayan,bodhayan.parents.association@gmail.com,"1/1W, Jodhpur Parkkolkata, Kolkata - 700068", 9874-583920 ,,Anuradha Pal Choudhury
492, West Bengal ,24 Paraganas South,Arogya Sandhan Charitable Trust,arogyasandhan@gmail.com,"2, 2,R.K.Sarani, Eastern Parksantoshpur, Kolkata - 700075", 9331-031650 ,,Niranjan Biswas
493, West Bengal ,Jalpaiguri,Jalpaiguri Welfare Organization,sanjoyjwo@gmail.com,"345/202, Club Roadpo Distt. Jalpaiguri, West Bengal - 735101", 9434-138069 , Niramaya,Sanjoy Chakraborty
494, West Bengal ,Nadia,Kalyani Life Institute,kalyanilifeinstitute@gmail.com,"B-3/88, Kalyanikalyani, Kalyani - 741235", 9830-017416 ,"Vikaas,Disha,Badhte Kadam,Sahyogi Niramaya",Siddhartha Sankar Mukhopadhyay
495, West Bengal ,Paschim Bardhaman,Asansol Anandam,asansolanandam1992@gmail.com,"B.C. Roy Road, Dr. B.C. Roy Roadkalyanpur Housing, Asansol, Asansol - 713305", 7908-458007 , Niramaya,Somenath Banerjee
496, West Bengal ,Kolkata,Bikashayan,bikashayan@gmail.com,"140/6, South Sinthee Roadnear-Jevandeep Medicine Shop, Kolkata - 700050", 9830-354249 ,,Somnath Munshi
497, West Bengal ,Murshidabad,Bharatpur Conija Handicap School,bchs2008.9@gmail.com,"7568, Anchalparanear Allahabad Bank, Bharatpur - 742301", 9775-373851 ,,Nur Nobi
498, West Bengal ,24 Paraganas South,Purba Dwaraka Pur Moon Star Sangha,pdpmss.sundarban@gmail.com,"Nil, Shreekhanda Ramkrishna Nagar P O Panchpota Gariaaaguyan Sangha Club, Kolkata - 700152", 8926-367439 ,Badhte Kadam Niramaya,Bibekananda Bag
499, West Bengal ,24 Paraganas North,Joygram Social Welfare Society,joygramsocialwelfaresociety@gmail.com,"Nil, Joygram, Chakpatlihasnabad, Hasnabad - 743426", 9635-606677 ,,Ariful Islam Mandal
500, West Bengal ,24 Paraganas North,Saltlake Drishti Centre for Learning Disability,susmitadrishti9836232858@gmail.com,"Saltlake City,Sector-I, Ce-182, Arunachal Bhawan, Kolkata - 700064", 9836-232858 , Niramaya,Susmita Nag
501, West Bengal ,Howrah,Asha Bhavan Centre,abcindia.sukeshi@gmail.com,"Asha Bhavan Centre, Vill. - Kathilapost. - Banitabla,P.S. Uluberia, Uluberia - 711316", 9830-047831 ,"Disha,Sahyogi,Badhte Kadam Niramaya",Sukeshi Barui
502, Delhi ,South Delhi,Tamana Association,ushavarma@tamana.ngo,"C-10/8, Vasant Vihar, New Delhinear C Block Market, New Delhi - 110057", 9811-270236 ,,Dr.Shayama Chona
503, Delhi ,North West Delhi,Viklang Sahara Samiti Delhi,vssd1998@gmail.com,"G-Block, Basti Vikash Kendramangol Puri, New Delhi - 110083", 9717-237993 ,"Badhte Kadam,Disha,Vikaas,Prerna",Bunty Solanki
504, Delhi ,New Delhi,Testbysushil,testing@123gmail.com,"54, Testdelhi, Anand Vihar - 202106", 1234-567890 ,,Testing
505, Delhi ,West Delhi,Udai Working Together Works,udai.march@gmail.com,"C 3/93, Janakpurinext To Orchid Hospital, Delhi - 110058", 9899-681972 ,,Tanu Rajput
506, Delhi ,South Delhi,Action for Ability Development and Inclusion (Aadi),aadi_jagruti@yahoo.com,"Plot No 2, Balbir Saxena Marghauz Khas, New Delhi - 110016", 9810-200968 ,Sambhav Niramaya,Ms. G. Syamala
507, Delhi ,North West Delhi,Mothers Care Special School ...Kartikeyan Educational Society,motherscareschool2014@gmail.com,"Mothers Care Special School- Plot No 66, Pocket-1, Sec. A-9, Narelaopposite Central School, Narela, North West Delhi - 110040", 9212-539212 ,,Sanjeep Kumar
508, Delhi ,East Delhi,Shristi Parents Support Group,shristithecreation@gmail.com,"C -272, Vivek Vihar,Opp Vivekanand Mahila College,, Delhi. - 110095", 9818-409489 ,"Badhte Kadam,Sahyogi,Disha Niramaya",Dr Rajiv Nandy
509, Delhi ,South West Delhi,Association for Advancement and Rehabilitation Of Handicapped,aarohdelhi@gmail.com,"B-11, Vasant Kunjopp. B-X Main Gate, New Delhi - 110070", 9871-564271 ,"Vikaas,Badhte Kadam",Asha Gupta
510, Delhi ,East Delhi,Manovikas Charitable Society,manovikasy2k@yahoo.com,"60A Radhey Puri Extn-1, Swami Dayanad Margjagat Puri Crossing, Delhi - 110051", 9911-107772 ,"Samarth,Vikaas,Badhte Kadam,Disha,Vikaas,Sahyogi Niramaya",Dr. Alok Kumar Bhuwan
511, Delhi ,East Delhi,Jingle Bells Education Society,anju_70gupta@yahoo.co.in,"S - 438, School Block, Part-2Shakar Pur, Delhi - 110092", 9811-819951 ,,Anju Gupta
512, Delhi ,New Delhi,Ashish Foundation for the Differently Abled Charitable Trust,sheila@ashishfoundation.co.in,"2/13, Sulahkul Vihar, Old Palam Road, Kakrolanear Dwarka Sector - 14B, New Delhi - 110078", 9810-986890 ,,Sheila George
513, Delhi ,South West Delhi,Akshya Pratisthan,akshayprati@gmail.com,"Na, Church Roadd 3 Vasant Kunj, New Delhi - 110070", 9811-263744 ,Disha,Aruna Dalmia
514, Delhi ,South Delhi,Muskaan Parents Association for the Empowerment Of Persons With Intellectual Disability,muskaan@muskaan-paepid.org,"Plot No.3,, Sector-B, Pocket-2Vasant Kunj, New Delhi - 110070", 9891-386995 ,"Badhte Kadam,Gharaunda Niramaya",Shanti Auluck
515, Delhi ,East Delhi,Chandra Bhushan Singh Memorial Mahila Bal Evam Shravan Viklang Shiksha Evam Punarvas Sansthan,cbsmshi@gmail.com,"M-124 Rk Vihar Plot No 29 Ip Extension,, M-124, Rk Vihar Plot No 29, Ip Extension,(Near Hasanpur Village Bus Stand)I.P. Extension, Patparganj,, Delhi - 110092", 9810-782542 ,,G.B. Singh
516, Delhi ,South West Delhi,Handicapped Childrens Parents Association,hcpaindia@yahoo.com,"Plot No.K, (Behind Plot No.13)Institutional, Sector-5, Dwarka, New Delhi - 110075", 9971-006165 , Niramaya,K.N Singh
517, Delhi ,South West Delhi,Sneh Social Welfare Foundation. Holy Heart Special School,kumaratishek@gmail.com,"D 742 Dda Flat, Bindapurnear Police Station, New Delhi - 110059", 9289-879997 , Niramaya,Atishek Kumar
518, Delhi ,Shahdara,Bhavya Welfare Society,bhavyarehab@gmail.com,"D-24 Panchsheel Garden, Naveen Shahdarabirds Hospital, Delhi - 110032", 9560-996772 , Niramaya,Vibha Sharma
519, Delhi ,South Delhi,Shaurya Foundation Trust,ravigupta.lawyer@gmail.com,"B-104/2, Western Avenue, Maharani Baghashram Chowk, New Delhi - 110065", 9810-006918 ,,Mr. Ravi Gupta
520, Delhi ,South Delhi,Astha (Alternative Strategies for the Handicapped),aarthindia@gmail.com,"Dusib, Basti Vikas Kendrabal Mukund Khand, Giri Nagar, (Near Govindpuri Metro Station), Giri Nagar, Kalkaji, New Delhi - 110019", 9811-167293 ,,Radhika M Alkazi
521, Delhi ,South Delhi,Cheshire Homes India Delhi Unit,home.dch@gmail.com,"-, Okhla Roadopp. Holy Family Hospital, New Delhi - 110025", 9910-050704 ,"Gharaunda,Badhte Kadam",Ms. Mira Pradeep Singh
522, Delhi ,South East Delhi,Action for Autism,actionforautism@gmail.com,"Pocket - 7 And 8, Jasola Viharbehind Dav School, New Delhi - 110025", 9810-225923 ,Badhte Kadam Niramaya,Mrs Merry Barua
523, Delhi ,North West Delhi,"Society for Rehabilitation and Welfare Of Differentally Abled, Delhi",pramod.sharma047@gmail.com,"121, Village- Hamid Purk M School Road, Delhi - 110036", 9899-311295 ,,Parmod Sharma
524, Delhi ,East Delhi,Amar Jyoti Charitable Trust,amarjyotinirmaya@gmail.com,"Karkardooma, Vikas Margdelhi, Delhi - 110092", 9811-058000 , Niramaya,Dr. Uma Tuli
525, Delhi ,South Delhi,Society for the Aid Of Mentally and Developmentally Handicapped Samadhan,samadhan.dwarka@gmail.com,"Sector V, F Block, Dakshinpuridurbalnath Mandir, New Delhi - 110062", 7042-664506 ,Disha Niramaya,Sumathi Morgan
526, Nagaland  ,Kohima,Jo Foundation,danieljofn@gmail.com,"354, Agri Colonyjo Foundation Inclusive School, Kohima - 797001", 9436-000597 ,,Daniel Thong Seb
527, Nagaland  ,Mokokchung,Care and Support Society,careandsupportmokok@gmail.com,"158, Block - 4, Town Hall Roadnear Dc Office, Sangtemla Ward, Mokokchung - 798601", 9436-017611 ,,Imchawati Kichu
528, Nagaland  ,Kohima,Cherry Blossoms Society,cherryblossomssociety@gmail.com,"A 16, Lerie Colony, Lerie Chazounear Crpf Camp, Kohima - 797001", 8974-028113 ,,D Adani
529, Telangana ,Rangareddy,Manasa Special School for the Mentally Handicapped run by Manasa,manasa912014@gmail.com,"Survey No.135, Mohan Nagar, Kothapet Road,Hyderabadbesides Tsspdcl Office, Hyderabad - 500035", 9963-811996 ,,P. Vanaja
530, Telangana ,Medchal,Child Guidance Centre (Cgc),hallowcgc@yahoo.com,"H.No 7-6/2, Santosh Sadanganeshnagar, Peerzadiguda, Hyderabad - 500098", 8367-675467 ,,M Jaynee Rose Kumari
531, Telangana ,Rangareddy,Sadhana Society for the Mentally Handicapped,sadhanawelfare@gmail.com,"Plot No A-7/5,Road No-6,Ida,Nacharam, Plot No A-7/5, Road No-6, Ida, Nacharamopp: H.P.Petrol Pump, Hyderabad - 500076", 9849-098749 ,,P.Madhusudan Reddy
532, Telangana ,Mahbubnagar,Ecoclub Brahma Institute for Mentally Handicapped.,ecoclubindia@gmail.com,"8-3-22/A, Teachers Colony, Mahabubnagarmunicipal Park, Mahabubnagar - 509001", 9440-402005 ,,G Chandra Sekhar
533, Telangana ,Hanumakonda,Bannu Arogyada Seva Society Bannu Neuro Health and Rehabilitation Institute,charan@bannu.org,"2-7-187, Excise Colonysubedari Hanamkonda, Warangal - 506001", 9949-075873 ,,Dr.Veeramalla Charanjit Reddy
534, Telangana ,Rangareddy,Shanthi Niketan Residential Institution for Mentally Handicapped,shanthiniketan.mr@gmail.com,"Plot No 10 And 13, Near Peddamma Templegouthami Nagar, Vanasthalipuram - 500070", 9246-219975 ,"Vikaas,Badhte Kadam,Gharaunda",L. Baleeshwaraiah
535, Telangana ,Peddapalli,Manochaitanya Spl School and Vocational Centre for Mentally Handicapped run by Pamencap,krishna.gdk@gmail.com,"B-28, Sector-I, Godavarikhaniopp: Singareni Community Hall, Godavarikhani - 505209", 9491-141530 ,"Vikaas,Badhte Kadam,Gharaunda",Dandapanthula Krishna Kumar
536, Telangana ,Hyderabad,Swayamkrushi,swayamkrushimk@gmail.com,"17,, Sri Malani Housing Cooperative Societyindian Airlines Colony, Trimulgherry, Secunderabad - 500015", 9701-441039 ,"Gharaunda,Vikaas Niramaya",Manjula Kalyan
537, Jammu & Kashmir ,Jammu,Disabled Care Foundation,disabledcarefoundation@yahoo.co.in,"5-A Small Plots,, Gandhi Nagar,Jammuopp. Bata Showroom, Jammu - 180004", 9419-122810 ,,Umesh Sharma
538, Jammu & Kashmir ,Samba,Muskan Foundation,go4muskanfoundation09419@gmail.com,"Vijaypur, Canal Road 9Vijaypur, Canal Road Vijaypur - 184120", 9419-150607 ,"Vikaas,Badhte Kadam",Parveen Kumari
539, Jammu & Kashmir ,Srinagar,Voluntary Medicare Society,vmsjk1@gmail.com,"Bemina Bye-Pass, Bemina Bye-Pass Srinagarskims Medical College, Srinagar - 190018", 9419-467621 ,Vikaas,Dr. Mir Mohammad Maqbool
540, Jammu & Kashmir ,Jammu,Swami Viveka Nand Educational Trust,educationaltrust2007@gmail.com,"Near Shiv Mandir, Katal Batal Nagrota, Jammu - 181221", 9419-165110 ,,Chamail Kumar
541, Jammu & Kashmir ,Ganderbal,Hope Disability Centre an Undertaking Of She Hope Society for Women Entrepreneurs,huzaifa@hopecentrekashmir.org,"001, Wayil Ganderbalnear Jamie Masjid, Ganderbal - 191201", 9797-810011 ,,Miss Huzaifa Ashraf
542, Jammu & Kashmir ,Anantnag,Humanity Welfare Organisation Helpline Bijbehara,jsocialactivist@gmail.com,"118, Pahliporanear Pumpshed, Bijbehara - 192124", 9469-064964 ,,Javed Ahmad Tak
